2019-06-10 20:40:41 upgrade base-files:amd64 9.4ubuntu4 9.4ubuntu4
2019-06-10 20:40:41 status half-configured base-files:amd64 9.4ubuntu4
2019-06-10 20:40:41 status unpacked base-files:amd64 9.4ubuntu4
2019-06-10 20:40:41 status half-installed base-files:amd64 9.4ubuntu4
2019-06-10 20:40:41 status half-installed base-files:amd64 9.4ubuntu4
2019-06-10 20:40:41 status unpacked base-files:amd64 9.4ubuntu4
2019-06-10 20:40:41 status unpacked base-files:amd64 9.4ubuntu4
2019-06-10 20:40:41 upgrade base-passwd:amd64 3.5.39 3.5.39
2019-06-10 20:40:41 status half-configured base-passwd:amd64 3.5.39
2019-06-10 20:40:41 status unpacked base-passwd:amd64 3.5.39
2019-06-10 20:40:41 status half-installed base-passwd:amd64 3.5.39
2019-06-10 20:40:41 status half-installed base-passwd:amd64 3.5.39
2019-06-10 20:40:41 status unpacked base-passwd:amd64 3.5.39
2019-06-10 20:40:41 status unpacked base-passwd:amd64 3.5.39
2019-06-10 20:40:41 install bash:amd64 <none> 4.3-14ubuntu1
2019-06-10 20:40:41 status half-installed bash:amd64 4.3-14ubuntu1
2019-06-10 20:40:41 status unpacked bash:amd64 4.3-14ubuntu1
2019-06-10 20:40:41 status unpacked bash:amd64 4.3-14ubuntu1
2019-06-10 20:40:41 install bsdutils:amd64 <none> 1:2.27.1-6ubuntu3
2019-06-10 20:40:41 status half-installed bsdutils:amd64 1:2.27.1-6ubuntu3
2019-06-10 20:40:41 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2019-06-10 20:40:41 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2019-06-10 20:40:41 install coreutils:amd64 <none> 8.25-2ubuntu2
2019-06-10 20:40:41 status half-installed coreutils:amd64 8.25-2ubuntu2
2019-06-10 20:40:41 status unpacked coreutils:amd64 8.25-2ubuntu2
2019-06-10 20:40:41 status unpacked coreutils:amd64 8.25-2ubuntu2
2019-06-10 20:40:41 install dash:amd64 <none> 0.5.8-2.1ubuntu2
2019-06-10 20:40:41 status half-installed dash:amd64 0.5.8-2.1ubuntu2
2019-06-10 20:40:41 status unpacked dash:amd64 0.5.8-2.1ubuntu2
2019-06-10 20:40:41 status unpacked dash:amd64 0.5.8-2.1ubuntu2
2019-06-10 20:40:41 install debconf:all <none> 1.5.58ubuntu1
2019-06-10 20:40:41 status half-installed debconf:all 1.5.58ubuntu1
2019-06-10 20:40:41 status unpacked debconf:all 1.5.58ubuntu1
2019-06-10 20:40:41 status unpacked debconf:all 1.5.58ubuntu1
2019-06-10 20:40:41 install debianutils:amd64 <none> 4.7
2019-06-10 20:40:41 status half-installed debianutils:amd64 4.7
2019-06-10 20:40:41 status unpacked debianutils:amd64 4.7
2019-06-10 20:40:41 status unpacked debianutils:amd64 4.7
2019-06-10 20:40:41 install diffutils:amd64 <none> 1:3.3-3
2019-06-10 20:40:41 status half-installed diffutils:amd64 1:3.3-3
2019-06-10 20:40:41 status unpacked diffutils:amd64 1:3.3-3
2019-06-10 20:40:41 status unpacked diffutils:amd64 1:3.3-3
2019-06-10 20:40:41 upgrade dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2019-06-10 20:40:41 status half-configured dpkg:amd64 1.18.4ubuntu1
2019-06-10 20:40:41 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-06-10 20:40:41 status half-installed dpkg:amd64 1.18.4ubuntu1
2019-06-10 20:40:41 status half-installed dpkg:amd64 1.18.4ubuntu1
2019-06-10 20:40:41 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-06-10 20:40:41 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-06-10 20:40:42 install e2fslibs:amd64 <none> 1.42.13-1ubuntu1
2019-06-10 20:40:42 status half-installed e2fslibs:amd64 1.42.13-1ubuntu1
2019-06-10 20:40:42 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2019-06-10 20:40:42 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2019-06-10 20:40:42 install e2fsprogs:amd64 <none> 1.42.13-1ubuntu1
2019-06-10 20:40:42 status half-installed e2fsprogs:amd64 1.42.13-1ubuntu1
2019-06-10 20:40:42 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2019-06-10 20:40:42 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2019-06-10 20:40:42 install findutils:amd64 <none> 4.6.0+git+20160126-2
2019-06-10 20:40:42 status half-installed findutils:amd64 4.6.0+git+20160126-2
2019-06-10 20:40:42 status unpacked findutils:amd64 4.6.0+git+20160126-2
2019-06-10 20:40:42 status unpacked findutils:amd64 4.6.0+git+20160126-2
2019-06-10 20:40:42 install gcc-6-base:amd64 <none> 6.0.1-0ubuntu1
2019-06-10 20:40:42 status half-installed gcc-6-base:amd64 6.0.1-0ubuntu1
2019-06-10 20:40:42 status unpacked gcc-6-base:amd64 6.0.1-0ubuntu1
2019-06-10 20:40:42 status unpacked gcc-6-base:amd64 6.0.1-0ubuntu1
2019-06-10 20:40:42 install grep:amd64 <none> 2.24-1
2019-06-10 20:40:42 status half-installed grep:amd64 2.24-1
2019-06-10 20:40:42 status unpacked grep:amd64 2.24-1
2019-06-10 20:40:42 status unpacked grep:amd64 2.24-1
2019-06-10 20:40:42 install gzip:amd64 <none> 1.6-4ubuntu1
2019-06-10 20:40:42 status half-installed gzip:amd64 1.6-4ubuntu1
2019-06-10 20:40:42 status unpacked gzip:amd64 1.6-4ubuntu1
2019-06-10 20:40:42 status unpacked gzip:amd64 1.6-4ubuntu1
2019-06-10 20:40:42 install hostname:amd64 <none> 3.16ubuntu2
